Name,Dist,e_Dist,Per,Mode,ra,dec
S_____TrA,855,30,6.3235992,F,240.29467,-63.77652
IQ____Nor,1853,55,8.2197994,F,228.20633,-54.75527
U_____TrA,1040,36,2.568423,F,241.82917,-62.91056
U_____Nor,1428,39,12.6452592,F,235.58713,-55.31191
S_____Nor,874,32,9.75411,F,244.71596,-57.89977
RS____Nor,1968,46,6.1981955,F,241.29151,-53.91941
GU____Nor,1590,37,3.4529291,F,243.72813,-53.33843
V397__Nor,2526,65,6.8126513,F,243.98143,-51.12072
KQ____Sco,2158,67,28.7030114,F,252.91063,-45.42669
V636__Sco,785,26,6.7969511,F,260.69366,-45.61427
RV____Sco,773,34,6.0581901,F,254.58229,-33.60911
V482__Sco,909,26,4.5264437,F,262.70158,-33.60991
RY____Sco,1408,68,20.3223325,F,267.71808,-33.70567
BF____Oph,801,26,4.0675349,F,256.52292,-26.58055
V500__Sco,1391,37,9.316839,F,267.15625,-30.47597
